benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
alpaca_eval,default,total_downward_pp,805,20,11.16486863266837,5.624435841884476,24.254577933182162,20.63713721188131,6.618930616191703,16.470735065206625,2.5642055590625463,9.231744758196195,-5.540432790783894,-9.323600265814136,-2.2883806586340576,49.62380636143452
alpaca_eval,default,maximum_drawdown_pp,805,20,7.243979721966568,4.3463703294247535,21.842876927607634,19.168364564638754,3.660604406579411,11.299346392700489,1.5584636062289583,7.683272819026286,-2.8976093925418147,-6.135456434505413,-0.4341175217294463,40.00024163175297
alpaca_eval,default,switches,805,20,5.0,2.85,9.100000000000001,6.0,3.6500000000000004,6.300000000000001,1.85,3.9499999999999997,-2.15,-3.3000000000000003,-1.05,43.0
alpaca_eval,default,largest_drop_pp,805,20,6.94548329532619,4.011219838405505,21.842876927607634,15.527885724434082,3.4151512475725143,11.046439445585582,1.526392499133082,6.9921866458017154,-2.934263456920685,-6.2106949960618305,-0.4341175217294463,42.247073848629555
alpaca_eval,default,mean_drawdown_pp,805,20,0.11709199099121323,0.1104337299947907,0.35722999664628674,0.3352300919593728,0.06269397742975133,0.1792210688060922,0.05348896543532287,0.17369290223173406,-0.006658260996422541,-0.023971554507337702,0.011436260570205317,5.686350483973045
alpaca_eval,default,mean_regret_pp,805,20,0.3736243748484222,0.38004582675346893,0.48699617307373544,0.4888070950646821,0.17439111469338142,0.6657534879220881,0.17607695233664947,0.6807582048851695,0.00642145190504671,-0.006909959509370589,0.02174185799380954,-1.718691910197744
alpaca_eval,default,final_regret_pp,805,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,default,downward_jumps,805,20,2.25,1.15,4.0,2.1000000000000014,1.65,2.85,0.6500000000000001,1.7,-1.1,-1.7,-0.55,48.88888888888889
alpaca_eval,default,jumps_ge_2pp,805,20,0.65,0.4,2.1000000000000014,2.0,0.25,1.1,0.1,0.75,-0.25,-0.5,-0.05,38.46153846153846
alpaca_eval,default,any_jump_ge_2pp,805,20,0.35,0.25,1.0,1.0,0.15000000000000002,0.55,0.1,0.45,-0.1,-0.25,0.0,28.57142857142857
alpaca_eval,dataset,total_downward_pp,805,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,maximum_drawdown_pp,805,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,switches,805,20,0.2,0.0,0.20000000000000284,0.0,0.0,0.5,0.0,0.0,-0.2,-0.5,0.0,100.0
alpaca_eval,dataset,largest_drop_pp,805,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,mean_drawdown_pp,805,20,0.0008772938861313116,0.0,0.0005013107920750443,0.0,0.0,0.0023812262623564163,0.0,0.0,-0.0008772938861313116,-0.0023812262623564163,0.0,100.0
alpaca_eval,dataset,mean_regret_pp,805,20,0.0008772938861313116,0.0,0.0005013107920750443,0.0,0.0,0.0023812262623564163,0.0,0.0,-0.0008772938861313116,-0.0023812262623564163,0.0,100.0
alpaca_eval,dataset,final_regret_pp,805,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,downward_jumps,805,20,0.1,0.0,0.10000000000000142,0.0,0.0,0.25,0.0,0.0,-0.1,-0.25,0.0,100.0
alpaca_eval,dataset,jumps_ge_2pp,805,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,any_jump_ge_2pp,805,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mmlu_abstract_algebra,default,total_downward_pp,100,20,72.35000000000001,38.25,110.50000000000004,60.70000000000004,58.998750000000015,87.30000000000001,29.599999999999998,47.000000000000014,-34.10000000000001,-44.25,-24.400000000000016,47.131997235659995
mmlu_abstract_algebra,default,maximum_drawdown_pp,100,20,18.1,14.000000000000004,28.000000000000004,27.10000000000001,14.300000000000002,21.900000000000002,10.3,17.900000000000002,-4.099999999999999,-6.649999999999999,-1.8999999999999977,22.651933701657445
mmlu_abstract_algebra,default,switches,100,20,38.95,20.95,48.1,28.200000000000003,34.8,43.5,17.650000000000002,24.500000000000004,-18.0,-20.35,-15.55,46.213093709884475
mmlu_abstract_algebra,default,largest_drop_pp,100,20,16.8,13.050000000000002,27.1,25.20000000000001,13.200000000000003,20.500000000000004,9.500000000000004,16.750000000000004,-3.75,-6.100000000000001,-1.7,22.32142857142856
mmlu_abstract_algebra,default,mean_drawdown_pp,100,20,1.301437037037036,1.1533333333333327,2.767140740740736,2.391259259259256,0.9211374074074071,1.706954814814814,0.7528714814814814,1.5943499999999984,-0.14810370370370343,-0.3116111111111103,0.026373703703703545,11.380012977107912
mmlu_abstract_algebra,default,mean_regret_pp,100,20,5.165066666666659,5.159777777777769,10.067081481481468,10.519348148148143,4.0557562962962885,6.50209888888888,4.016685925925921,6.506780370370357,-0.005288888888889376,-0.1376148148148147,0.13954740740740834,0.10239730152995369
mmlu_abstract_algebra,default,final_regret_pp,100,20,2.899999999999994,2.7999999999999945,5.999999999999995,5.999999999999995,1.9499999999999962,3.8499999999999943,1.8499999999999974,3.7499999999999947,-0.10000000000000009,-0.44999999999999873,0.14999999999999847,3.4482758620689604
mmlu_abstract_algebra,default,downward_jumps,100,20,16.9,8.95,21.0,12.0,15.100000000000001,18.701249999999984,7.6,10.3,-7.95,-9.05,-6.8,47.04142011834319
mmlu_abstract_algebra,default,jumps_ge_2pp,100,20,12.2,6.7,16.0,9.100000000000001,10.850000000000001,13.549999999999999,5.5,7.85,-5.5,-6.65,-4.25,45.081967213114744
mmlu_abstract_algebra,default,any_jump_ge_2pp,100,20,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,dataset,total_downward_pp,100,20,98.75000000000001,32.60000000000001,156.00000000000009,54.400000000000006,82.30000000000004,116.75000000000003,25.698750000000004,39.750000000000014,-66.15,-81.40125000000002,-52.60000000000001,66.9873417721519
mmlu_abstract_algebra,dataset,maximum_drawdown_pp,100,20,17.800000000000004,7.15,25.1,13.600000000000014,15.000000000000004,20.450000000000003,5.200000000000001,9.5,-10.65,-13.950000000000001,-7.3000000000000025,59.83146067415731
mmlu_abstract_algebra,dataset,switches,100,20,62.65,30.55,78.1,44.1,56.7,68.5,25.5,35.45,-32.1,-34.901250000000005,-29.3,51.237031125299275
mmlu_abstract_algebra,dataset,largest_drop_pp,100,20,17.150000000000002,7.0,24.100000000000005,12.700000000000015,14.450000000000003,19.700000000000003,5.0500000000000025,9.350000000000001,-10.150000000000002,-13.350000000000003,-6.900000000000003,59.18367346938776
mmlu_abstract_algebra,dataset,mean_drawdown_pp,100,20,1.0729333333333329,0.7844740740740741,1.7522962962962965,1.975407407407408,0.8039085185185181,1.3587581481481468,0.47546481481481484,1.1152151851851855,-0.2884592592592587,-0.5620166666666657,0.022459999999999865,26.88510556038824
mmlu_abstract_algebra,dataset,mean_regret_pp,100,20,3.6759703703703637,3.641392592592586,5.054577777777776,5.24044444444444,3.182099999999992,4.169659629629622,3.1084811111111037,4.1751488888888835,-0.03457777777777785,-0.23424629629629667,0.21117222222222268,0.940643538818677
mmlu_abstract_algebra,dataset,final_regret_pp,100,20,2.699999999999995,2.2999999999999945,5.999999999999995,5.099999999999994,1.7999999999999945,3.749999999999993,1.5999999999999952,3.0999999999999943,-0.40000000000000036,-1.1500000000000008,0.0,14.814814814814856
mmlu_abstract_algebra,dataset,downward_jumps,100,20,26.9,12.35,33.300000000000004,18.0,24.450000000000003,29.35,10.150000000000002,14.501249999999985,-14.55,-15.55,-13.55,54.08921933085502
mmlu_abstract_algebra,dataset,jumps_ge_2pp,100,20,19.1,8.35,25.300000000000004,13.0,16.950000000000003,21.25,6.65,10.1,-10.75,-12.05,-9.4,56.28272251308901
mmlu_abstract_algebra,dataset,any_jump_ge_2pp,100,20,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,0.0,0.0
mmlu_anatomy,default,total_downward_pp,135,20,83.55555555555563,27.33333333333336,122.00000000000007,52.14814814814819,69.37037037037042,98.18518518518526,20.51851851851854,34.77870370370373,-56.222222222222264,-67.96296296296299,-46.333333333333364,67.2872340425532
mmlu_anatomy,default,maximum_drawdown_pp,135,20,14.444444444444448,7.296296296296299,20.07407407407408,14.518518518518524,12.258333333333336,16.704629629629622,5.222222222222227,9.703703703703708,-7.148148148148148,-9.814814814814817,-4.777777777777778,49.48717948717948
mmlu_anatomy,default,switches,135,20,61.45,28.95,80.4,42.50000000000001,53.0,70.15,23.6,34.300000000000004,-32.5,-37.95,-27.900000000000002,52.888527257933276
mmlu_anatomy,default,largest_drop_pp,135,20,13.555555555555557,7.000000000000003,20.07407407407408,14.444444444444448,11.40740740740741,15.814814814814818,4.92592592592593,9.370370370370374,-6.5555555555555545,-9.148148148148145,-4.2592592592592595,48.3606557377049
mmlu_anatomy,default,mean_drawdown_pp,135,20,1.186404511507393,0.8906081390032012,1.8004735050551255,1.27413910481126,0.8974857491236092,1.5490740232688116,0.6116692577351021,1.2645731849819646,-0.2957963725041915,-0.4271717725956409,-0.17375328964080722,24.93216855087359
mmlu_anatomy,default,mean_regret_pp,135,20,3.378346796728146,3.2662785144541027,5.060476553370933,4.977574556724081,2.824437788954941,3.944816592999039,2.711505563176349,3.8390144286948162,-0.11206828227404371,-0.19935665294924598,-0.03063140781384938,3.317252165543785
