benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_college_chemistry,dataset,mean_regret_pp,100,20,2.7715851851851845,2.8369777777777765,3.5553185185185106,3.510518518518511,2.4504485185185163,3.099824074074072,2.5260725925925933,3.1487140740740713,0.06539259259259253,-0.06081518518518539,0.2510314814814826,-2.3593932072566903
mmlu_high_school_government_and_politics,dataset,mean_regret_pp,193,20,0.1747011851175719,0.1824329363055233,0.263669022186029,0.27060532572089896,0.1377223649056448,0.21268736520890918,0.1463752196181253,0.21949714285146088,0.007731751187951377,0.005512452235854248,0.009760192418787294,-4.425700479792398
mmlu_medical_genetics,dataset,mean_regret_pp,100,20,0.879318518518517,0.880755555555554,1.1653037037037024,1.1783703703703687,0.8030477777777764,0.9612599999999984,0.804025555555554,0.9633792592592576,0.0014370370370370034,-0.0009337037037038505,0.004029629629629561,-0.16342622232705234
mmlu_high_school_us_history,dataset,mean_regret_pp,204,20,0.5749142067865607,0.5753627522178049,1.064825494467931,1.0538112122118182,0.41197678599398896,0.7344839769604246,0.40850750067637603,0.7388610327936512,0.00044854543124430574,-0.01849377732211266,0.033791579449499475,-0.07801954203763455
mmlu_us_foreign_policy,default,mean_regret_pp,100,20,1.506148148148139,1.8522370370370278,2.2690370370370276,2.279496296296286,1.2458240740740654,1.764329259259249,1.3272222222222132,2.6850055555555468,0.34608888888888895,-0.005867407407407081,0.9928451851851854,-22.9784094821228
mmlu_jurisprudence,default,mean_regret_pp,108,20,1.4645125234974357,1.5774653254077131,2.2117563379566123,2.4108875679520403,1.1621313443072714,1.7604614388050608,1.2416501549560552,1.9166276101204094,0.1129528019102777,0.017552583447645386,0.2630610806279525,-7.712655241795564
mmlu_college_computer_science,default,mean_regret_pp,100,20,3.5949925925925923,3.689022222222222,6.246844444444446,6.191999999999998,2.878767037037037,4.426473703703702,2.991755925925925,4.485096296296293,0.0940296296296301,-0.12653407407407347,0.4191574074074081,-2.615572277488855
mmlu_human_sexuality,default,mean_regret_pp,131,20,1.1551774372122847,1.2254552203855864,2.207999620155092,2.218915844928314,0.8072724113893054,1.494758086272277,0.8878753936034987,1.555472734257479,0.07027778317330166,-0.017214042607376235,0.213630605140423,-6.0837219382416725
mmlu_college_biology,default,mean_regret_pp,144,20,0.8620541838134418,0.9293195587562859,1.5618427069044356,1.6287437128486508,0.6721175554412424,1.060736203989482,0.7216644161522622,1.1402608096136253,0.06726537494284412,-0.010466856710105261,0.2147712334247829,-7.802917288247987
mmlu_human_aging,default,mean_regret_pp,223,20,0.9266304853788997,0.9647750064609427,1.6929863564221754,2.3291916260204366,0.6780587264454809,1.2341039173058692,0.6546560133702435,1.3365138308893438,0.03814452108204287,-0.05296924143673501,0.17395379251841395,-4.116475950653157
mmlu_global_facts,default,mean_regret_pp,100,20,5.093096296296298,5.125881481481485,9.379674074074083,9.438933333333345,3.828960000000005,6.452194074074076,3.881936666666666,6.458930370370372,0.032785185185186784,-0.03575666666666448,0.11441777777778042,-0.6437181486049696
mmlu_business_ethics,default,mean_regret_pp,100,20,1.2997629629629641,1.3106518518518526,2.163111111111114,2.1824592592592613,1.0186618518518524,1.5836381481481492,1.0321777777777787,1.5899577777777787,0.010888888888888972,-0.02191222222222251,0.05958518518518536,-0.8377595914924355
mmlu_high_school_us_history,default,mean_regret_pp,204,20,1.2885642274338873,1.297894684380646,1.998789639312501,1.9774089737565186,1.0810003631082024,1.4902666531391002,1.09612613382317,1.4959551703760603,0.009330456946758433,-0.02161401597676086,0.04814752516838227,-0.7240971577598319
alpaca_eval,default,mean_regret_pp,805,20,0.3736243748484222,0.38004582675346893,0.48699617307373544,0.4888070950646821,0.17439111469338142,0.6657534879220881,0.17607695233664947,0.6807582048851695,0.00642145190504671,-0.006909959509370589,0.02174185799380954,-1.718691910197744
mmlu_virology,default,mean_regret_pp,166,20,5.3165379053026,5.317758315726087,7.02134911802497,7.236033827411377,4.7709793659242035,5.902623546394406,4.766223999075282,5.896601734918251,0.0012204104234887492,-0.09932467487083523,0.09441225410342974,-0.02295498396182026
mmlu_high_school_geography,default,mean_regret_pp,198,20,0.39738575428811274,0.3974556640100987,0.6363069528052692,0.6416994486579224,0.31141824152486486,0.5005475631738271,0.3051002921092725,0.5052681699146356,6.990972198602508e-05,-0.030666560857357663,0.043317717013002605,-0.017592407687383824
