benchmark,prior,matrix_seed,run_seed,method,budget_fraction,observed_cells,observed_fraction,regret_pp,selected_score_100,best_score_100,selected_n
alpaca_eval,dataset,1,12,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,posterior_mean,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,posterior_mean,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,posterior_mean,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,gaussian_lcb_1.645,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,gaussian_lcb_1.645,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,gaussian_lcb_1.645,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,13,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,posterior_mean,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,224
alpaca_eval,dataset,1,14,posterior_mean,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,posterior_mean,0.05,6153,0.04995737425404945,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,gaussian_lcb_1.645,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,224
alpaca_eval,dataset,1,14,gaussian_lcb_1.645,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,gaussian_lcb_1.645,0.05,6153,0.04995737425404945,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,14,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,posterior_mean,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,posterior_mean,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,posterior_mean,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,gaussian_lcb_1.645,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,gaussian_lcb_1.645,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,gaussian_lcb_1.645,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,15,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,posterior_mean,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,posterior_mean,0.02,2453,0.019916372346039865,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,posterior_mean,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,gaussian_lcb_1.645,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,gaussian_lcb_1.645,0.02,2453,0.019916372346039865,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,gaussian_lcb_1.645,0.05,6148,0.04991677830552511,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,16,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,posterior_mean,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,posterior_mean,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,posterior_mean,0.05,6153,0.04995737425404945,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,gaussian_lcb_1.645,0.01,1221,0.00991353062964316,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,dataset,1,17,gaussian_lcb_1.645,0.02,2458,0.0199569682945642,0.0,56.70300982038498,56.70300982038498,805
