benchmark,prior,matrix_seed,run_seed,method,n_questions,window_begin,window_end,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
alpaca_eval,dataset,1,18,posterior_mean,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,dataset,1,18,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,dataset,1,19,posterior_mean,805,0.01,0.09999594040514756,1.7364700869177851,1.7364700869177851,2,1.7364700869177851,0.012532769801875862,0.012532769801875862,0.0,1,0,0
alpaca_eval,dataset,1,19,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,0,posterior_mean,805,0.01,0.09999594040514756,21.842876927607634,21.842876927607634,2,21.842876927607634,0.03152968201488715,0.03152968201488715,0.0,1,1,1
alpaca_eval,default,1,0,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,1,posterior_mean,805,0.01,0.09999594040514756,0.0,0.0,1,0.0,0.0,0.3517556834330248,0.0,0,0,0
alpaca_eval,default,1,1,gaussian_lcb_1.645,805,0.01,0.09999594040514756,1.7364700869177851,1.7364700869177851,3,1.7364700869177851,0.007519661881125558,0.3642884532349007,0.0,1,0,0
alpaca_eval,default,1,2,posterior_mean,805,0.01,0.09999594040514756,5.209410260753355,1.7364700869177851,6,1.7364700869177851,0.03258520148487728,0.03258520148487728,0.0,3,0,0
alpaca_eval,default,1,2,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,3,posterior_mean,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,10,1.7364700869177851,0.05013107920750358,2.5262308313950723,0.0,4,0,0
alpaca_eval,default,1,3,gaussian_lcb_1.645,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,6,1.7364700869177851,0.11357822632950006,2.6097304102000702,0.0,2,0,0
alpaca_eval,default,1,4,posterior_mean,805,0.01,0.09999594040514756,1.7364700869177851,1.7364700869177851,3,1.7364700869177851,0.0025065539603751855,0.36679500719527586,0.0,1,0,0
alpaca_eval,default,1,4,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,1,0.0,0.0,0.3918605467990276,0.0,0,0,0
alpaca_eval,default,1,5,posterior_mean,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,5,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,6,posterior_mean,805,0.01,0.09999594040514756,21.112418260495314,12.672938353192553,10,6.703009820384976,0.4057691572586069,1.338870653097432,0.0,4,3,1
alpaca_eval,default,1,6,gaussian_lcb_1.645,805,0.01,0.09999594040514756,6.703009820384976,6.703009820384976,5,6.703009820384976,0.36903080309848624,1.3281104846914298,0.0,1,1,1
alpaca_eval,default,1,7,posterior_mean,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,4,1.7364700869177851,0.31237928731175607,0.31237928731175607,0.0,2,0,0
alpaca_eval,default,1,7,gaussian_lcb_1.645,805,0.01,0.09999594040514756,5.209410260753355,1.7364700869177851,6,1.7364700869177851,0.3274186110740072,0.3274186110740072,0.0,3,0,0
alpaca_eval,default,1,8,posterior_mean,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,8,1.7364700869177851,0.025065539603751723,0.025065539603751723,0.0,4,0,0
alpaca_eval,default,1,8,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,9,posterior_mean,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,8,1.7364700869177851,0.141150319893627,0.141150319893627,0.0,4,0,0
alpaca_eval,default,1,9,gaussian_lcb_1.645,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,8,1.7364700869177851,0.1837617372200049,0.1837617372200049,0.0,4,0,0
alpaca_eval,default,1,10,posterior_mean,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,9,1.7364700869177851,0.15869619761625317,0.36178189927452553,0.0,4,0,0
alpaca_eval,default,1,10,gaussian_lcb_1.645,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,5,1.7364700869177851,0.17122896741812904,0.3743146690764014,0.0,2,0,0
alpaca_eval,default,1,11,posterior_mean,805,0.01,0.09999594040514756,6.945880347671141,1.7364700869177851,8,1.7364700869177851,0.0927424965338814,0.0927424965338814,0.0,4,0,0
alpaca_eval,default,1,11,gaussian_lcb_1.645,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,4,1.7364700869177851,0.1812551832596298,0.1812551832596298,0.0,2,0,0
alpaca_eval,default,1,12,posterior_mean,805,0.01,0.09999594040514756,20.50316613235616,20.50316613235616,2,20.50316613235616,0.05919168162638236,0.25726427536390434,0.0,1,1,1
alpaca_eval,default,1,12,gaussian_lcb_1.645,805,0.01,0.09999594040514756,20.50316613235616,20.50316613235616,2,20.50316613235616,0.05919168162638236,0.25726427536390434,0.0,1,1,1
alpaca_eval,default,1,13,posterior_mean,805,0.01,0.09999594040514756,43.68575385521527,21.842876927607634,6,21.842876927607634,0.35332850148797396,0.35332850148797396,0.0,3,3,1
alpaca_eval,default,1,13,gaussian_lcb_1.645,805,0.01,0.09999594040514756,21.842876927607634,21.842876927607634,4,15.13986710722266,0.3314744573883602,0.3314744573883602,0.0,2,2,1
alpaca_eval,default,1,14,posterior_mean,805,0.01,0.09999594040514756,23.986593012804008,19.020053279336818,4,19.020053279336818,0.07046950582417848,0.28859453124470186,0.0,2,2,1
alpaca_eval,default,1,14,gaussian_lcb_1.645,805,0.01,0.09999594040514756,23.986593012804008,19.020053279336818,4,19.020053279336818,0.05613133791438216,0.27425636333490555,0.0,2,2,1
alpaca_eval,default,1,15,posterior_mean,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,15,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0
alpaca_eval,default,1,16,posterior_mean,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,5,1.7364700869177851,0.08020972673200562,0.27326921254877723,0.0,2,0,0
alpaca_eval,default,1,16,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,1,0.0,0.0,0.2807888744299028,0.0,0,0,0
alpaca_eval,default,1,17,posterior_mean,805,0.01,0.09999594040514756,13.406019640769951,6.703009820384976,5,6.703009820384976,0.39234345307110097,0.39234345307110097,0.0,2,2,1
alpaca_eval,default,1,17,gaussian_lcb_1.645,805,0.01,0.09999594040514756,13.406019640769951,6.703009820384976,5,6.703009820384976,0.39555116288393094,0.39555116288393094,0.0,2,2,1
alpaca_eval,default,1,18,posterior_mean,805,0.01,0.09999594040514756,26.666442216585516,24.929972129667732,4,24.929972129667732,0.048518601544348346,0.048518601544348346,0.0,2,1,1
alpaca_eval,default,1,18,gaussian_lcb_1.645,805,0.01,0.09999594040514756,1.7364700869177851,1.7364700869177851,2,1.7364700869177851,0.012532769801875862,0.012532769801875862,0.0,1,0,0
alpaca_eval,default,1,19,posterior_mean,805,0.01,0.09999594040514756,3.4729401738355703,1.7364700869177851,5,1.7364700869177851,0.08522283465275592,0.27828232046952756,0.0,2,0,0
alpaca_eval,default,1,19,gaussian_lcb_1.645,805,0.01,0.09999594040514756,0.0,0.0,1,0.0,0.0,0.2883085363110282,0.0,0,0,0
mmlu_abstract_algebra,dataset,1,0,posterior_mean,100,0.01,0.1,193.0,24.000000000000004,86,24.000000000000004,1.6453333333333324,3.7671111111111046,1.0000000000000009,36,29,1
mmlu_abstract_algebra,dataset,1,0,gaussian_lcb_1.645,100,0.01,0.1,54.0,7.9999999999999964,40,7.9999999999999964,0.6856296296296276,2.9324444444444357,1.0000000000000009,17,13,1
mmlu_abstract_algebra,dataset,1,1,posterior_mean,100,0.01,0.1,58.00000000000005,4.0000000000000036,56,4.0000000000000036,0.6471111111111131,2.6471111111111045,5.999999999999995,28,19,1
mmlu_abstract_algebra,dataset,1,1,gaussian_lcb_1.645,100,0.01,0.1,30.00000000000003,4.0000000000000036,32,4.0000000000000036,0.6328888888888909,2.632888888888883,5.999999999999995,16,8,1
mmlu_abstract_algebra,dataset,1,2,posterior_mean,100,0.01,0.1,82.0,25.0,48,25.0,0.7128888888888862,4.402074074074071,1.9999999999999907,20,12,1
mmlu_abstract_algebra,dataset,1,2,gaussian_lcb_1.645,100,0.01,0.1,14.000000000000012,4.0000000000000036,17,4.0000000000000036,0.26992592592592657,4.3813333333333295,1.9999999999999907,6,4,1
mmlu_abstract_algebra,dataset,1,3,posterior_mean,100,0.01,0.1,111.00000000000003,21.000000000000004,69,21.000000000000004,2.5066666666666655,5.03822222222222,1.9999999999999907,29,22,1
mmlu_abstract_algebra,dataset,1,3,gaussian_lcb_1.645,100,0.01,0.1,58.00000000000002,21.000000000000004,29,21.000000000000004,1.975111111111112,5.037925925925924,1.9999999999999907,13,12,1
mmlu_abstract_algebra,dataset,1,4,posterior_mean,100,0.01,0.1,58.00000000000003,13.000000000000005,57,12.000000000000005,1.5528888888888892,4.255999999999991,3.9999999999999925,26,11,1
mmlu_abstract_algebra,dataset,1,4,gaussian_lcb_1.645,100,0.01,0.1,38.00000000000003,13.000000000000005,37,12.000000000000005,1.2402962962962973,4.240296296296287,3.9999999999999925,15,8,1
