benchmark,prior,metric,n_runs,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
gsm8k,default,total_downward_pp,100,20,73.611,11.580999999999992,214.76,27.890000000000015,45.85955,104.92647499999998,8.727974999999992,14.597049999999994,-62.02999999999999,-93.18102499999999,-34.581925,84.26729700724078
gsm8k,default,maximum_drawdown_pp,100,20,16.235999999999997,5.654999999999999,39.34,14.88000000000001,12.02485,20.986124999999994,4.112974999999999,7.2540749999999985,-10.581,-15.222150000000001,-6.407850000000002,65.16999260901699
gsm8k,default,switches,100,20,31.110000000000003,10.399999999999999,58.10000000000001,17.0,24.55,37.8705,8.719999999999999,12.190000000000001,-20.71,-27.620250000000006,-14.140000000000002,66.57023465123756
gsm8k,default,largest_drop_pp,100,20,13.944999999999999,5.364,27.799999999999997,14.800000000000002,10.764975,17.441225,3.8999999999999995,6.9079999999999995,-8.581,-11.961100000000004,-5.394975,61.53460021513087
gsm8k,default,mean_drawdown_pp,100,20,0.5517180327868849,0.2053333333333331,1.3288306010928947,0.5703315118397083,0.3679952641165754,0.7559159927140252,0.14773551912568295,0.27363080145719454,-0.3463846994535519,-0.525672131147541,-0.18806069216757748,62.782921505005746
gsm8k,default,mean_regret_pp,100,20,1.423605464480873,1.1427162112932592,2.385413479052823,1.9832021857923503,1.1147381693989065,1.7317180874316933,0.9031205737704907,1.3884048724954454,-0.2808892531876142,-0.4453666211293269,-0.12723209471766878,19.730835557732423
gsm8k,default,final_regret_pp,100,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gsm8k,default,downward_jumps,100,20,13.580000000000002,4.15,25.10000000000001,7.1000000000000085,10.870000000000001,16.400000000000002,3.4400000000000004,4.9,-9.43,-12.40025,-6.630000000000001,69.44035346097202
gsm8k,default,jumps_ge_2pp,100,20,7.24,1.6300000000000003,17.0,4.0,5.0600000000000005,9.620000000000001,1.25,2.04,-5.610000000000001,-8.02,-3.4000000000000004,77.48618784530386
gsm8k,default,any_jump_ge_2pp,100,20,0.93,0.6300000000000001,1.0,1.0,0.88,0.98,0.53,0.73,-0.30000000000000004,-0.39,-0.21000000000000002,32.258064516129025
gsm8k,dataset,total_downward_pp,100,20,7.629999999999993,4.357999999999996,19.739999999999984,13.010000000000002,5.576974999999994,10.210999999999993,2.9019999999999975,6.084024999999998,-3.2719999999999962,-4.416074999999995,-2.2569749999999975,42.88335517693315
gsm8k,dataset,maximum_drawdown_pp,100,20,3.880999999999998,2.613999999999998,11.990000000000006,10.640000000000006,2.7019999999999986,5.238999999999999,1.6609999999999983,3.744074999999998,-1.267,-1.8639999999999999,-0.6850000000000006,32.64622519969082
gsm8k,dataset,switches,100,20,8.379999999999997,4.94,15.0,11.100000000000009,7.53,9.22,4.07,5.84,-3.44,-3.9799999999999995,-2.88,41.050119331742216
gsm8k,dataset,largest_drop_pp,100,20,3.8469999999999986,2.613999999999998,11.990000000000006,10.640000000000006,2.6889749999999983,5.181074999999998,1.6609999999999983,3.744074999999998,-1.2329999999999999,-1.8120249999999998,-0.6739750000000001,32.050948791265945
gsm8k,dataset,mean_drawdown_pp,100,20,0.06441748633879772,0.04910673952641159,0.1692531876138432,0.11742076502732289,0.04417169398907099,0.08638109289617478,0.0294144444444444,0.07051967213114745,-0.01531074681238614,-0.02031475409836063,-0.010810892531876127,23.767997918858082
gsm8k,dataset,mean_regret_pp,100,20,0.6353730418943525,0.6384830601092887,1.3436648451730409,1.3674316939890703,0.5354414207650265,0.7348078233151175,0.5371872950819664,0.7404289162112921,0.0031100182149362138,-0.006535218579235062,0.012220200364298696,-0.48947909493668673
gsm8k,dataset,final_regret_pp,100,20,0.0040000000000000036,0.0040000000000000036,0.0,0.0,0.0,0.01200000000000001,0.0,0.01200000000000001,0.0,0.0,0.0,0.0
gsm8k,dataset,downward_jumps,100,20,3.3600000000000003,1.7400000000000002,7.0,4.0,2.99,3.72,1.37,2.12,-1.6199999999999997,-1.93,-1.3,48.21428571428571
gsm8k,dataset,jumps_ge_2pp,100,20,0.8499999999999999,0.39,3.0,1.0,0.63,1.09,0.21000000000000002,0.6000000000000001,-0.4600000000000001,-0.6599999999999999,-0.26,54.11764705882352
gsm8k,dataset,any_jump_ge_2pp,100,20,0.48,0.21999999999999997,1.0,1.0,0.38,0.5800000000000001,0.13,0.31000000000000005,-0.26,-0.34,-0.19,54.16666666666667
piqa,default,total_downward_pp,100,20,31.528000000000027,11.102000000000007,54.550000000000054,23.820000000000025,27.78285000000002,35.28602500000003,8.539975000000005,14.086000000000011,-20.426000000000016,-23.471050000000023,-17.57397500000001,64.78685612788632
piqa,default,maximum_drawdown_pp,100,20,7.209000000000001,4.6700000000000035,12.0,10.20000000000001,6.397000000000004,8.037000000000003,3.8460000000000027,5.570000000000002,-2.5390000000000006,-3.083000000000001,-2.0340000000000003,35.21986405881533
piqa,default,switches,100,20,28.52,13.2,40.300000000000026,24.10000000000001,25.520000000000003,31.830250000000003,11.170000000000002,15.470000000000002,-15.320000000000004,-17.85,-13.030000000000001,53.71669004207574
piqa,default,largest_drop_pp,100,20,6.596000000000004,4.454000000000002,10.850000000000012,9.510000000000009,5.887000000000004,7.327000000000002,3.7330000000000028,5.261025000000004,-2.1420000000000017,-2.675050000000002,-1.6480000000000006,32.47422680412372
piqa,default,mean_drawdown_pp,100,20,0.39632276159654833,0.28993656957928826,0.8662610571736789,0.9349644012944993,0.3348768716289107,0.45990884573894314,0.21646781014023747,0.36789851132686113,-0.10638619201726007,-0.1411063214670983,-0.07097029126213597,26.84332123360603
piqa,default,mean_regret_pp,100,20,0.8320591154261063,0.7944144552319314,1.625221143473574,1.7071823085221167,0.6414891747572821,1.0347610140237324,0.5932992071197416,1.006582713052859,-0.037644660194174756,-0.0808023516720605,0.00951759439050705,4.524277121211113
piqa,default,final_regret_pp,100,20,0.02400000000000002,0.02400000000000002,0.0,0.0,0.0,0.07200000000000006,0.0,0.07200000000000006,0.0,0.0,0.0,0.0
piqa,default,downward_jumps,100,20,10.7,3.8999999999999995,15.100000000000009,8.0,9.23,12.31,2.98,4.949999999999999,-6.8,-7.8100000000000005,-5.83,63.55140186915888
piqa,default,jumps_ge_2pp,100,20,7.429999999999998,2.4099999999999997,13.0,5.0,6.44,8.41,1.85,3.1,-5.0200000000000005,-6.05,-4.089750000000003,67.56393001345894
piqa,default,any_jump_ge_2pp,100,20,1.0,0.8400000000000002,1.0,1.0,1.0,1.0000000000000002,0.74,0.93,-0.15999999999999998,-0.26,-0.06999999999999999,15.99999999999998
piqa,dataset,total_downward_pp,100,20,13.769000000000014,4.036000000000004,27.530000000000026,10.240000000000013,12.162950000000007,15.387025000000012,3.419000000000003,4.694000000000004,-9.733000000000008,-11.16102500000001,-8.210975000000007,70.68777689011549
piqa,dataset,maximum_drawdown_pp,100,20,4.8800000000000034,2.1770000000000023,9.840000000000012,3.9000000000000035,4.181975000000003,5.615050000000003,1.7700000000000016,2.728025000000001,-2.7030000000000016,-3.373025000000002,-2.1170000000000018,55.38934426229507
piqa,dataset,switches,100,20,17.080000000000002,8.45,30.0,16.0,15.530000000000001,18.62,7.440000000000001,9.52,-8.63,-9.73,-7.499750000000003,50.52693208430914
piqa,dataset,largest_drop_pp,100,20,4.5820000000000025,2.0540000000000016,9.11,3.9000000000000035,3.9189750000000023,5.278000000000003,1.7030000000000014,2.4950250000000014,-2.528000000000001,-3.2230500000000006,-1.9299750000000013,55.17241379310344
piqa,dataset,mean_drawdown_pp,100,20,0.2293014023732472,0.1289924487594392,0.6799654800431503,0.44679180151024894,0.17894453074433664,0.28223171521035617,0.07824778856526436,0.1888496871628912,-0.10030895361380805,-0.14164582524271854,-0.060799266450916975,43.745460156641045
piqa,dataset,mean_regret_pp,100,20,0.9230084142394827,0.9282962243797203,2.069997842502699,2.198403451995691,0.7624079665587925,1.090510906148868,0.7590557443365705,1.103364989212514,0.005287810140237295,-0.022850916936353757,0.03298532901833853,-0.5728886171199772
piqa,dataset,final_regret_pp,100,20,0.08500000000000008,0.04300000000000004,0.0,0.0,0.0,0.19100000000000017,0.0,0.1070000000000001,-0.04200000000000004,-0.1260000000000001,0.0,49.411764705882355
piqa,dataset,downward_jumps,100,20,6.17,2.29,12.100000000000009,6.0,5.46,6.92,1.8900000000000001,2.7100000000000004,-3.88,-4.3500000000000005,-3.3899999999999997,62.884927066450565
piqa,dataset,jumps_ge_2pp,100,20,3.0,1.0,6.1000000000000085,3.0,2.48,3.51,0.83,1.1800000000000002,-2.0,-2.49,-1.5,66.66666666666667
piqa,dataset,any_jump_ge_2pp,100,20,0.85,0.5399999999999999,1.0,1.0,0.78,0.92,0.45,0.6300000000000001,-0.31000000000000005,-0.41000000000000003,-0.21000000000000002,36.47058823529413
mmlu_computer_security,default,total_downward_pp,20,20,47.949999999999996,18.199999999999996,95.00000000000001,42.9,33.9,62.95125,12.000000000000004,25.10124999999999,-29.749999999999993,-38.65125,-21.35,62.04379562043796
mmlu_computer_security,default,maximum_drawdown_pp,20,20,9.150000000000002,5.249999999999999,15.000000000000002,9.20000000000001,7.45,10.850000000000001,4.049999999999996,6.5,-3.900000000000003,-5.250000000000002,-2.6000000000000014,42.622950819672155
mmlu_computer_security,default,switches,20,20,33.2,14.75,52.80000000000001,24.400000000000006,25.950000000000003,41.05,11.25,18.4,-18.45,-23.45,-14.3,55.57228915662651
mmlu_computer_security,default,largest_drop_pp,20,20,8.150000000000002,4.55,13.200000000000003,8.2,6.5500000000000025,9.800000000000002,3.4999999999999982,5.700000000000003,-3.6000000000000028,-4.8999999999999995,-2.400000000000004,44.17177914110431
mmlu_computer_security,default,mean_drawdown_pp,20,20,1.4661185185185155,1.1179703703703687,2.355644444444447,2.0196740740740764,1.104733333333333,1.8469777777777743,0.8369314814814803,1.4144459259259248,-0.34814814814814665,-0.6002903703703678,-0.1315507407407402,23.746248597960808
mmlu_computer_security,default,mean_regret_pp,20,20,3.9916740740740506,3.982059259259235,4.893629629629582,4.824088888888917,3.5644585185184963,4.414742222222197,3.560152962962939,4.388762592592565,-0.00961481481481441,-0.09237148148147924,0.07391333333333086,0.2408717404375251
mmlu_computer_security,default,final_regret_pp,20,20,3.6999999999999935,3.7999999999999936,5.099999999999994,5.099999999999994,2.999999999999995,4.399999999999995,3.099999999999995,4.499999999999995,0.10000000000000006,0.0,0.3000000000000002,-2.7027027027027097
mmlu_computer_security,default,downward_jumps,20,20,14.25,6.1,22.500000000000007,10.200000000000003,11.25,17.450000000000003,4.65,7.6000000000000005,-8.15,-10.149999999999999,-6.4,57.19298245614035
mmlu_computer_security,default,jumps_ge_2pp,20,20,10.6,4.15,17.80000000000001,7.300000000000004,7.7,13.8,2.9,5.5,-6.45,-8.45,-4.65,60.849056603773576
mmlu_computer_security,default,any_jump_ge_2pp,20,20,1.0,0.95,1.0,1.0,1.0,1.0000000000000002,0.85,1.0,-0.05,-0.15,0.0,5.000000000000004
mmlu_computer_security,dataset,total_downward_pp,20,20,86.99999999999997,23.44999999999998,147.9000000000001,62.99999999999994,61.99999999999998,115.90124999999993,14.349999999999984,34.29999999999997,-63.54999999999999,-83.09999999999997,-46.39999999999999,73.04597701149427
