benchmark,prior,matrix_seed,run_seed,method,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
gsm8k,dataset,2,11,posterior_mean,2.9999999999999973,1.1999999999999955,9,1.1999999999999955,0.05158469945355187,0.39562841530054493,0.0,4,0,0
gsm8k,dataset,2,11,gaussian_lcb_1.645,1.8000000000000016,0.6000000000000005,7,0.6000000000000005,0.023606557377049208,0.38688524590163775,0.0,3,0,0
gsm8k,dataset,2,12,posterior_mean,0.0,0.0,1,0.0,0.0,0.17180327868852385,0.0,0,0,0
gsm8k,dataset,2,12,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.17879781420764954,0.0,0,0,0
gsm8k,dataset,2,13,posterior_mean,13.099999999999989,10.7,7,10.7,0.3940255009107454,1.3907468123861548,0.0,3,1,1
gsm8k,dataset,2,13,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.3785792349726761,1.3753005464480854,0.0,1,0,0
gsm8k,dataset,2,14,posterior_mean,2.399999999999997,1.1999999999999955,7,1.1999999999999955,0.04896174863387969,0.36502732240437014,0.0,3,0,0
gsm8k,dataset,2,14,gaussian_lcb_1.645,4.199999999999987,1.1999999999999955,9,1.1999999999999955,0.02098360655737698,0.3790163934426214,0.0,4,0,0
gsm8k,dataset,2,15,posterior_mean,8.700000000000003,2.100000000000002,16,2.100000000000002,0.04633879781420757,1.5856466302367926,0.0,6,3,1
gsm8k,dataset,2,15,gaussian_lcb_1.645,5.099999999999993,2.100000000000002,12,2.100000000000002,0.020546448087431675,1.6641894353369748,0.0,4,1,1
gsm8k,dataset,2,16,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.02273224043715837,0.3702732240437142,0.0,1,0,0
gsm8k,dataset,2,16,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.38076502732240275,0.0,0,0,0
gsm8k,dataset,2,17,posterior_mean,4.800000000000004,2.100000000000002,10,2.100000000000002,0.3311475409836067,0.9846994535519119,0.0,4,1,1
gsm8k,dataset,2,17,gaussian_lcb_1.645,2.7000000000000024,2.100000000000002,6,2.100000000000002,0.343825136612022,1.01311475409836,0.0,2,1,1
gsm8k,dataset,2,18,posterior_mean,20.999999999999968,13.799999999999995,15,13.799999999999995,0.044590163934426,0.8439344262295077,0.0,7,1,1
